double,hit,stand,player_total,dealer_card_up,best_action,split
-1.7102471024710246,-0.8551235512355123,0.6322988229882299,20,2,stand,
-1.7072620726207262,-0.8536310363103631,0.6432839328393284,20,3,stand,
-1.7081570815708158,-0.8540785407854079,0.6538090380903809,20,4,stand,
-1.7080420804208043,-0.8540210402104021,0.6689641896418964,20,5,stand,
-1.7075320753207532,-0.8537660376603766,0.67679926799268,20,6,stand,
-1.7004820048200482,-0.8502410024100241,0.7717427174271743,20,7,stand,
-1.7027970279702798,-0.8513985139851399,0.7911879118791187,20,8,stand,
-1.6989969899698998,-0.8494984949849499,0.755770057700577,20,9,stand,
-1.7180271802718028,-0.8590135901359014,0.4374468744687447,20,10,stand,
-1.8050080500805008,-0.9025040250402504,0.11568365683656837,20,11,stand,
-1.460839608396084,-0.7295247952479524,0.37543875438754387,19,2,stand,
-1.4573045730457304,-0.7271822718227182,0.3962214622146221,19,3,stand,
-1.4512945129451293,-0.7288572885728857,0.41786417864178643,19,4,stand,
-1.456069560695607,-0.7273647736477364,0.4358168581685817,19,5,stand,
-1.4505845058450584,-0.7267722677226772,0.4523820238202382,19,6,stand,
-1.4298342983429835,-0.7164271642716428,0.6147711477114771,19,7,stand,
-1.4254892548925489,-0.714709647096471,0.5928934289342893,19,8,stand,
-1.428419284192842,-0.7161871618716187,0.2895228952289523,19,9,stand,
-1.3491134911349114,-0.6743617436174362,0.05875308753087531,19,10,stand,
-1.013050130501305,-0.5067750677506775,0.13077130771307713,19,11,stand,
-1.2465524655246552,-0.6244462444624447,0.11149611496114961,18,2,stand,
-1.2410974109741097,-0.6207187071870719,0.1369038690386904,18,3,stand,
-1.2384523845238453,-0.6182261822618226,0.16527665276652767,18,4,stand,
-1.2349923499234992,-0.6158311583115831,0.1962769627696277,18,5,stand,
-1.2259372593725937,-0.6136761367613676,0.22255222552225523,18,6,stand,
-1.1789367893678937,-0.5884808848088481,0.39830648306483063,18,7,stand,
-1.1825068250682507,-0.589510895108951,0.1054410544105441,18,8,stand,
