double,hit,stand,player_total,dealer_card_up,best_action,split
-1.7089685714285714,-0.8544842857142857,0.63177,20,2,stand,
-1.7059657142857143,-0.8529828571428572,0.6426585714285714,20,3,stand,
-1.7066428571428571,-0.8533214285714286,0.6553942857142857,20,4,stand,
-1.7069485714285715,-0.8534742857142857,0.6693114285714286,20,5,stand,
-1.7065228571428572,-0.8532614285714286,0.67664,20,6,stand,
-1.702802857142857,-0.8514014285714285,0.7720114285714286,20,7,stand,
-1.6994314285714285,-0.8497157142857142,0.79009,20,8,stand,
-1.69802,-0.84901,0.7571742857142857,20,9,stand,
-1.7194057142857142,-0.8597028571428571,0.43765714285714286,20,10,stand,
-1.804482857142857,-0.9022414285714285,0.11290285714285714,20,11,stand,
-1.4582857142857142,-0.7289085714285715,0.3784,19,2,stand,
-1.4588514285714285,-0.7285671428571429,0.3982842857142857,19,3,stand,
-1.4527914285714285,-0.7265157142857143,0.4175642857142857,19,4,stand,
-1.4539828571428572,-0.7273828571428571,0.43693857142857145,19,5,stand,
-1.450842857142857,-0.7254585714285714,0.4525757142857143,19,6,stand,
-1.4288742857142858,-0.7160685714285714,0.6169328571428572,19,7,stand,
-1.4289742857142858,-0.71356,0.5941842857142857,19,8,stand,
-1.4271714285714285,-0.7164185714285715,0.28687142857142856,19,9,stand,
-1.3485628571428572,-0.6724071428571429,0.05854,19,10,stand,
-1.0092685714285714,-0.5064757142857143,0.13119714285714285,19,11,stand,
-1.24748,-0.62569,0.10977428571428571,18,2,stand,
-1.2395057142857142,-0.6209014285714286,0.13658142857142858,18,3,stand,
-1.2365771428571428,-0.6190957142857143,0.1671642857142857,18,4,stand,
-1.2326114285714285,-0.6157971428571428,0.19312,18,5,stand,
-1.225,-0.6130071428571429,0.22260857142857143,18,6,stand,
-1.1840342857142858,-0.5912614285714286,0.39912857142857144,18,7,stand,
-1.1817314285714287,-0.5908,0.10633285714285715,18,8,stand,
-1.2316714285714285,-0.6156428571428572,-0.18329428571428572,18,9,stand,
-1.19536,-0.6001028571428572,-0.1633557142857143,18,10,stand,
-0.88412,-0.4430357142857143,-0.1557842857142857,18,11,stand,
-1.0747714285714285,-0.5391414285714285,-0.1566057142857143,17,2,stand,
-1.0684114285714286,-0.5324842857142857,-0.11872857142857143,17,3,stand,
-1.061257142857143,-0.5286671428571429,-0.08493142857142857,17,4,stand,
-1.0471742857142856,-0.5246471428571429,-0.045102857142857146,17,5,stand,
-1.0391714285714286,-0.5191785714285714,-0.006188571428571429,17,6,stand,
-0.96814,-0.4831442857142857,-0.10713428571428571,17,7,stand,
-1.0082914285714286,-0.5061628571428571,-0.3804557142857143,17,8,stand,
-1.1060628571428572,-0.5540914285714286,-0.42045714285714286,17,9,stand,
-1.0757,-0.54023,-0.38795714285714283,17,10,stand,
-0.8040685714285715,-0.40240714285714285,-0.35516714285714285,17,11,stand,
-0.9456828571428572,-0.47191285714285713,-0.28725428571428574,16,2,stand,
-0.9322342857142857,-0.4671314285714286,-0.24684571428571428,16,3,stand,
-0.9153714285714286,-0.45854428571428574,-0.20660571428571428,16,4,stand,
-0.9031057142857143,-0.45159714285714286,-0.1648457142857143,16,5,stand,
-0.8853914285714286,-0.44216,-0.12166285714285714,16,6,stand,
-0.828,-0.4147914285714286,-0.47271714285714284,16,7,hit,
-0.9173114285714286,-0.45800714285714283,-0.5108485714285714,16,8,hit,
-1.0173714285714286,-0.5085328571428571,-0.54214,16,9,hit,
-0.9964657142857143,-0.5011271428571429,-0.4974314285714286,16,10,stand,
-0.7512628571428571,-0.3763214285714286,-0.41355857142857144,16,11,hit,
-0.8412057142857143,-0.4187457142857143,-0.28640571428571426,15,2,stand,
-0.8144257142857143,-0.4079285714285714,-0.24683142857142856,15,3,stand,
-0.7968685714285715,-0.3960042857142857,-0.20656857142857143,15,4,stand,
-0.7729571428571429,-0.38615714285714287,-0.16470857142857143,15,5,stand,
-0.7501428571428571,-0.3752185714285714,-0.12178857142857143,15,6,stand,
-0.7480171428571428,-0.3705157142857143,-0.47482857142857143,15,7,hit,
-0.8452028571428571,-0.4164614285714286,-0.5088028571428571,15,8,hit,
-0.9471,-0.47068857142857146,-0.5429828571428571,15,9,hit,
-0.929,-0.4675614285714286,-0.49941285714285716,15,10,hit,
-0.7061485714285715,-0.35031285714285715,-0.41362714285714286,15,11,hit,
-0.7262371428571428,-0.3637242857142857,-0.28610285714285716,14,2,stand,
-0.6974942857142857,-0.3524685714285714,-0.24527428571428572,14,3,stand,
-0.66958,-0.3351585714285714,-0.20689142857142856,14,4,stand,
-0.6437914285714286,-0.32204,-0.1650742857142857,14,5,stand,
