double,hit,stand,player_total,dealer_card_up,best_action
-1.7087771428571428,-0.8543885714285714,0.6363885714285714,20,2,stand
-1.7050685714285714,-0.8525342857142857,0.6479771428571428,20,3,stand
-1.7065257142857142,-0.8532628571428571,0.6577742857142858,20,4,stand
-1.7039085714285713,-0.8519542857142857,0.6705514285714286,20,5,stand
-1.7062857142857142,-0.8531428571428571,0.7022914285714286,20,6,stand
-1.7028142857142856,-0.8514071428571428,0.7728085714285714,20,7,stand
-1.6980714285714287,-0.8490357142857143,0.7903442857142857,20,8,stand
-1.7026285714285714,-0.8513142857142857,0.7564014285714286,20,9,stand
-1.7168942857142857,-0.8584471428571429,0.43845428571428574,20,10,stand
-1.8021342857142857,-0.9010671428571428,0.15019428571428572,20,11,stand
-1.45966,-0.7291314285714285,0.3861685714285714,19,2,stand
-1.4550657142857142,-0.7278714285714286,0.4046057142857143,19,3,stand
-1.4540857142857142,-0.7270471428571429,0.42337,19,4,stand
-1.4526742857142858,-0.7251585714285714,0.44065857142857146,19,5,stand
-1.4469942857142857,-0.7229628571428571,0.4952557142857143,19,6,stand
-1.42828,-0.7167557142857143,0.6157757142857143,19,7,stand
-1.4284571428571429,-0.7144857142857143,0.5943014285714285,19,8,stand
-1.43184,-0.7159028571428572,0.28714428571428574,19,9,stand
-1.3456457142857143,-0.6732628571428572,0.05702857142857143,19,10,stand
-1.008122857142857,-0.5025714285714286,0.1924057142857143,19,11,stand
-1.2453885714285715,-0.6215385714285714,0.12274,18,2,stand
-1.239817142857143,-0.62009,0.14719,18,3,stand
-1.2376,-0.6179871428571428,0.17547,18,4,stand
-1.2331971428571429,-0.6156228571428571,0.19813,18,5,stand
-1.21784,-0.60764,0.2836828571428571,18,6,stand
-1.1859685714285715,-0.5902371428571429,0.3990542857142857,18,7,stand
-1.1825657142857142,-0.5915028571428571,0.10530142857142857,18,8,stand
-1.23204,-0.6161028571428572,-0.18306714285714284,18,9,stand
-1.1964257142857142,-0.5978085714285715,-0.16393428571428573,18,10,stand
-0.8686857142857143,-0.43228428571428573,-0.06898142857142857,18,11,stand
-1.0714428571428571,-0.5364885714285714,-0.15423714285714285,17,2,stand
-1.0648942857142858,-0.5322828571428572,-0.11765857142857143,17,3,stand
-1.0559828571428571,-0.5277957142857143,-0.08103857142857143,17,4,stand
-1.0450285714285714,-0.52278,-0.04552285714285714,17,5,stand
-1.0150714285714286,-0.5094642857142857,0.010891428571428571,17,6,stand
-0.9639485714285714,-0.4844671428571429,-0.10733285714285715,17,7,stand
-1.0120657142857143,-0.50314,-0.38077,17,8,stand
-1.1076742857142856,-0.5539814285714286,-0.42067571428571426,17,9,stand
-1.0820685714285714,-0.5399557142857143,-0.38938428571428574,17,10,stand
-0.7740457142857143,-0.3866171428571429,-0.32957714285714285,17,11,stand
-0.9429,-0.47238285714285716,-0.2937914285714286,16,2,stand
-0.9305114285714285,-0.4645657142857143,-0.25385142857142856,16,3,stand
-0.9120857142857143,-0.4553614285714286,-0.20884285714285714,16,4,stand
-0.8972285714285714,-0.4497685714285714,-0.16379714285714286,16,5,stand
-0.8583942857142857,-0.42948857142857144,-0.15294,16,6,stand
-0.8282,-0.41542142857142855,-0.47488285714285716,16,7,hit
-0.9157542857142857,-0.4586085714285714,-0.5088914285714286,16,8,hit
-1.02004,-0.5087857142857143,-0.5401885714285715,16,9,hit
-0.9942628571428571,-0.4969057142857143,-0.4971771428571429,16,10,hit
-0.7173257142857142,-0.3581957142857143,-0.4608514285714286,16,11,hit
-0.8343971428571428,-0.4167585714285714,-0.29324,15,2,stand
-0.8177257142857143,-0.4057585714285714,-0.2523971428571429,15,3,stand
-0.7909885714285714,-0.3961842857142857,-0.21035142857142858,15,4,stand
-0.7688,-0.38495285714285715,-0.16542857142857142,15,5,stand
-0.7308971428571429,-0.365,-0.15292285714285714,15,6,stand
-0.7448542857142857,-0.36966571428571426,-0.4754285714285714,15,7,hit
-0.8393914285714286,-0.41658142857142855,-0.5091342857142858,15,8,hit
-0.9505942857142857,-0.4709257142857143,-0.5438,15,9,hit
-0.9295028571428572,-0.46767,-0.49759,15,10,hit
-0.6803542857142857,-0.33356142857142856,-0.4603714285714286,15,11,hit
-0.7201485714285715,-0.3614242857142857,-0.29492285714285715,14,2,stand
-0.6961771428571428,-0.34701857142857145,-0.25316285714285713,14,3,stand
-0.6675771428571429,-0.33292571428571427,-0.21224,14,4,stand
-0.6437857142857143,-0.3209914285714286,-0.16541142857142857,14,5,stand
-0.6007028571428571,-0.29836,-0.15376571428571428,14,6,stand
-0.6611342857142857,-0.3215085714285714,-0.47544857142857144,14,7,hit
-0.7676171428571429,-0.3707614285714286,-0.50984,14,8,hit
-0.8770228571428571,-0.4302142857142857,-0.5445114285714285,14,9,hit
-0.8658114285714286,-0.43116571428571426,-0.49647857142857144,14,10,hit
-0.6491371428571429,-0.3047557142857143,-0.46149,14,11,hit
-0.6182257142857143,-0.3093542857142857,-0.29578571428571426,13,2,stand
-0.5789685714285714,-0.29313428571428574,-0.25191142857142856,13,3,stand
-0.5479885714285714,-0.27318857142857145,-0.21192,13,4,stand
-0.5124542857142858,-0.25669285714285717,-0.16714285714285715,13,5,stand
-0.4680885714285714,-0.23639,-0.15493714285714286,13,6,stand
-0.5842914285714286,-0.27015285714285714,-0.47426857142857143,13,7,hit
-0.6890514285714285,-0.32487571428571427,-0.5094342857142857,13,8,hit
-0.8070885714285714,-0.3871342857142857,-0.5422685714285714,13,9,hit
-0.7997657142857143,-0.3931414285714286,-0.4976028571428571,13,10,hit
-0.6093114285714286,-0.27437,-0.4607442857142857,13,11,hit
-0.5087171428571429,-0.2529342857142857,-0.2920057142857143,12,2,hit
-0.46606285714285717,-0.23219142857142858,-0.2535314285714286,12,3,hit
-0.42575142857142856,-0.21308142857142856,-0.21060571428571428,12,4,stand
-0.39084,-0.19202142857142857,-0.16815142857142856,12,5,stand
-0.33422,-0.16986142857142858,-0.15587142857142858,12,6,stand
-0.5046857142857143,-0.21296285714285715,-0.47577714285714284,12,7,hit
-0.61326,-0.27290857142857144,-0.5115971428571429,12,8,hit
-0.7365114285714286,-0.3406414285714286,-0.5417628571428571,12,9,hit
-0.7362542857142857,-0.3528757142857143,-0.4986714285714286,12,10,hit
-0.5763285714285714,-0.24200142857142856,-0.46068857142857145,12,11,hit
0.47196,0.23867857142857143,-0.2947057142857143,11,2,double
0.52292,0.26169857142857145,-0.25176,11,3,double
0.5659257142857143,0.28232285714285715,-0.2110857142857143,11,4,double
0.6175571428571428,0.30824285714285715,-0.16688285714285714,11,5,double
0.6652885714285715,0.33505857142857143,-0.15395142857142857,11,6,double
0.4633028571428571,0.29094,-0.47560857142857144,11,7,double
0.35118285714285713,0.23119142857142858,-0.5106257142857142,11,8,double
0.2292,0.1571742857142857,-0.5431314285714286,11,9,double
0.16592,0.10847571428571429,-0.4983457142857143,11,10,double
0.07964,0.09905857142857143,-0.46062285714285717,11,11,hit
0.35535428571428573,0.18568285714285715,-0.29316857142857145,10,2,double
0.40800857142857144,0.2077042857142857,-0.25008285714285716,10,3,double
0.45734857142857144,0.22896857142857144,-0.21271714285714285,10,4,double
0.5136657142857143,0.2576242857142857,-0.16703142857142858,10,5,double
0.58002,0.28664285714285714,-0.15501428571428572,10,6,double
0.39378,0.25618285714285716,-0.47594285714285717,10,7,double
0.28860285714285716,0.19645428571428572,-0.5097,10,8,double
0.1421457142857143,0.11581285714285715,-0.5426171428571429,10,9,double
-0.004542857142857143,0.024701428571428572,-0.4969071428571429,10,10,hit
-0.005502857142857143,0.056447142857142855,-0.4617085714285714,10,11,hit
0.3560857142857143,0.18278857142857144,0.6406657142857143,soft_20,2,stand
0.41108,0.20630714285714286,0.6498757142857143,soft_20,3,stand
0.4625114285714286,0.23065714285714287,0.6611328571428572,soft_20,4,stand
0.5154171428571429,0.2553642857142857,0.6697314285714285,soft_20,5,stand
0.5763514285714286,0.28707,0.7040957142857143,soft_20,6,stand
0.39223714285714284,0.2572942857142857,0.77348,soft_20,7,stand
0.28371714285714283,0.19707,0.7916842857142857,soft_20,8,stand
0.1406,0.11654714285714286,0.7593842857142857,soft_20,9,stand
-0.006182857142857143,0.02184857142857143,0.5118257142857143,soft_20,10,stand
-0.004974285714285714,0.057364285714285715,0.4544371428571429,soft_20,11,stand
0.2418657142857143,0.12518428571428572,0.38558857142857145,soft_19,2,stand
0.29580285714285715,0.14926714285714285,0.40427714285714283,soft_19,3,stand
0.3450714285714286,0.17449857142857142,0.42157285714285714,soft_19,4,stand
0.4083342857142857,0.20324142857142857,0.43861428571428573,soft_19,5,stand
0.4749457142857143,0.2397142857142857,0.49608285714285716,soft_19,6,stand
0.3196171428571429,0.22097142857142857,0.6170157142857143,soft_19,7,stand
0.19262285714285715,0.15237714285714285,0.5955328571428572,soft_19,8,stand
-0.06770571428571429,0.00842857142857143,0.28839857142857145,soft_19,9,stand
-0.21504857142857142,-0.08031857142857143,0.05719,soft_19,10,stand
-0.12622571428571427,-0.0057,0.19238,soft_19,11,stand
0.12340571428571429,0.06289857142857143,0.12226142857142858,soft_18,2,double
0.18182571428571428,0.09163714285714286,0.14786,soft_18,3,double
0.23856285714285713,0.11724571428571429,0.1754342857142857,soft_18,4,double
0.29199142857142857,0.14927428571428572,0.19829714285714287,soft_18,5,double
0.37762,0.19133142857142857,0.28122714285714284,soft_18,6,double
0.22166285714285713,0.16906714285714286,0.40048,soft_18,7,stand
-0.033402857142857144,0.03956,0.10585,soft_18,8,stand
-0.29088285714285717,-0.10038428571428572,-0.18156,soft_18,9,hit
-0.3171285714285714,-0.13253714285714285,-0.16300571428571428,soft_18,10,hit
-0.25108285714285716,-0.06498142857142856,-0.06918857142857143,soft_18,11,hit
-0.009385714285714285,0.00025714285714285715,-0.1516957142857143,soft_17,2,hit
0.05664285714285714,0.029757142857142857,-0.11897,soft_17,3,double
0.11313428571428572,0.06564,-0.08139142857142857,soft_17,4,double
0.18448857142857142,0.09554142857142857,-0.04289857142857143,soft_17,5,double
0.2518457142857143,0.13377857142857144,0.009801428571428572,soft_17,6,double
-0.01994,0.053552857142857145,-0.10615857142857144,soft_17,7,hit
-0.2534342857142857,-0.07313285714285714,-0.37918285714285715,soft_17,8,hit
-0.39709428571428573,-0.14795714285714287,-0.42071857142857144,soft_17,9,hit
-0.4210028571428571,-0.18144,-0.38639,soft_17,10,hit
-0.36827714285714286,-0.12578857142857142,-0.32987,soft_17,11,hit
